[g8-ar-cap50] C  1: agg   111.1 tok/s (spread 59%) | per-user  141.9 tok/s | TTFT p50  0.18s p95  3.00s | wall   3.8s | isl 2403 fails 0
[g8-ar-cap50] C  4: agg   398.3 tok/s (spread  1%) | per-user  109.5 tok/s | TTFT p50  0.33s p95  0.40s | wall   3.9s | isl 2403 fails 0
[g8-ar-cap50] C  8: agg   668.2 tok/s (spread  1%) | per-user   90.1 tok/s | TTFT p50  0.32s p95  0.33s | wall   4.6s | isl 2403 fails 0
[g8-ar-cap50] C 16: agg  1074.9 tok/s (spread  4%) | per-user   72.4 tok/s | TTFT p50  0.37s p95  0.52s | wall   5.7s | isl 2403 fails 0
[g8-ar-cap50] C 32: agg  1647.8 tok/s (spread  0%) | per-user   55.4 tok/s | TTFT p50  0.53s p95  0.59s | wall   7.5s | isl 2403 fails 0
[g8-ar-cap50] C 48: agg  1681.2 tok/s (spread 77%) | per-user   47.7 tok/s | TTFT p50  0.70s p95 14.43s | wall  13.3s | isl 2403 fails 0
[g8-ar-cap50] C 64: agg  1694.9 tok/s (spread  1%) | per-user   47.0 tok/s | TTFT p50  0.66s p95  9.06s | wall  14.5s | isl 2403 fails 0
[g8-ar-cap50] C 96: agg  1706.9 tok/s (spread 74%) | per-user   46.5 tok/s | TTFT p50  0.71s p95 34.53s | wall  25.8s | isl 2403 fails 0
[g8-ar-cap50] C128: agg  2007.9 tok/s (spread  0%) | per-user   46.9 tok/s | TTFT p50  9.04s p95 17.42s | wall  24.5s | isl 2404 fails 0
