Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.3,26917247,11613,2317.9,2080.0,1408,9056,534.9,"void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bfloat162, &vllm::silu_kernel<c10::BFloat16>, &vllm::packed_silu_kernel<__nv_bfloat162>, (bool)1, (bool)1, (bool)0, (bool)0>(T1 *, const T1 *, int, float, float, float)"
0.3,26863321,10868,2471.8,2464.0,2239,3552,128.4,kernel_cutlass_kernel_vllmmodel_executorkernelslinearcute_dsl_ll_bf16_dotprodLLBf16Dotprod_object_at__tensorptrbf16gmemalign16o26144i64div81_tensorptrbf16gmemalign16o6144i64div81_tensorpt_0
0.3,23810430,11613,2050.3,1984.0,1568,3040,197.7,"void vllm::concat_and_cache_mla_kernel<__nv_bfloat16, __nv_bfloat16, (vllm::Fp8KVCacheDataType)0>(const T1 *, const T1 *, T2 *, const long *, int, int, int, int, int, int, int, const float *)"
0.3,22859808,429,53286.3,53184.0,51776,55616,634.3,nvjet_sm103_tst_128x8_64x12_4x1_v_bz_splitK_TNT
0.3,22454720,3146,7137.5,6912.0,6560,8704,443.2,nvjet_sm103_tst_32x64_64x16_4x1_v_bz_TNN
0.3,20990816,11613,1807.5,1760.0,1440,2560,124.6,_convert_req_index_to_global_index_kernel
0.2,20292960,11613,1747.4,1728.0,1472,2880,161.1,"void vllm::ConcatMLAQKernel<c10::BFloat16, (int)512>(T1 *, const T1 *, const T1 *, int, int, long, long, long, long, long, long)"
0.2,17880192,143,125036.3,127040.0,104384,130976,4671.8,bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x8x128u2_s6_et128x8_m128x8x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f
0.2,17086112,11319,1509.5,1440.0,1184,2432,137.3,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.2,16814973,11025,1525.2,1504.0,1088,5056,274.8,_pack_topk_ids_weights_kernel
0.2,16218112,11025,1471.0,1440.0,1056,4512,280.0,"void vllm::cvt_fp16_to_fp4_sf_major<__nv_bfloat16, (bool)0>(int, int, int, int, int, const T1 *, const float *, unsigned int *, unsigned int *)"
0.2,16125024,3146,5125.6,5120.0,4416,6272,227.0,"void deep_gemm::sm100_paged_mqa_logits<(unsigned int)1, (unsigned int)32, (unsigned int)128, (unsigned int)64, (bool)0, (bool)1, (bool)1, (unsigned int)3, (unsigned int)5, (unsigned int)256, (unsigned int)16, (unsigned int)128, (unsigned int)256, cutlass::float_e4m3_t, float, float, (unsigned int)2>(unsigned int, unsigned int, unsigned int, const unsigned int *, T15 *, const unsigned int *, const unsigned int *, const unsigned int *, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
0.2,16055493,11315,1419.0,1216.0,704,8480,680.1,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
0.2,14819264,11172,1326.5,1312.0,832,2336,97.0,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::AUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
