Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,1471424,304,4840.2,4832.0,4448,7648,355.1,"void moe::dev::finalize::finalizeKernelVecLoad<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, (int)4, (bool)1>>(T1)"
0.0,1376480,147,9363.8,9344.0,8480,10336,408.1,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<c10::BFloat16, at::native::ArgMaxOps<float>, unsigned int, long, (int)4, (int)4>>(T3)"
0.0,1368416,304,4501.4,4448.0,2112,6752,596.7,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)0, float, float, float, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.0,1328960,858,1548.9,1568.0,1088,1984,188.3,"void compute_cuda_kernel<int>(const T1 *, const long *, T1 *, long, long)"
0.0,1315392,858,1533.1,1536.0,1120,2144,226.8,"void at_cuda_detail::cub::detail::scan::DeviceScanKernel<at_cuda_detail::cub::detail::scan::policy_hub<long, long, long, unsigned int, std::plus<long>>::Policy1000, const long *, long *, at_cuda_detail::cub::ScanTileState<long, (bool)1>, std::plus<long>, at_cuda_detail::cub::NullType, unsigned int, long, (bool)0, at_cuda_detail::cub::NullType>(T2, T3, T4, int, T5, T6, T7)"
0.0,1258912,1005,1252.6,1312.0,768,1856,161.2,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<int>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
0.0,1245216,79,15762.2,15712.0,14336,16800,448.6,nvjet_sm103_tst_128x64_64x8_4x1_v_bz_TNT
0.0,1054080,572,1842.8,1920.0,1120,2784,372.3,"void at::native::<unnamed>::indexSelectSmallIndex<int, int, unsigned int, (int)1, (int)1, (int)-2>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, long)"
0.0,981056,286,3430.3,3456.0,2432,4832,513.0,"void at::native::<unnamed>::indexSelectSmallIndex<c10::BFloat16, long, unsigned int, (int)2, (int)2, (int)-2>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, long)"
0.0,737792,286,2579.7,2560.0,2496,2880,76.0,"void deep_gemm::sched::sm100_paged_mqa_logits_metadata<(unsigned int)1, (bool)1, (bool)1, (unsigned int)1, (unsigned int)256, (unsigned int)152>(unsigned int, unsigned int, const unsigned int *, const unsigned int *, unsigned int *)"
0.0,716512,286,2505.3,2464.0,2240,3104,151.7,"void at::native::<unnamed>::indexSelectSmallIndex<int, int, unsigned int, (int)2, (int)2, (int)-2>(at::cuda::detail::TensorInfo<T1, T3>, at::cuda::detail::TensorInfo<const T1, T3>, at::cuda::detail::TensorInfo<const T2, T3>, int, int, T3, long)"
0.0,643136,858,749.6,736.0,512,1184,129.9,"void at_cuda_detail::cub::detail::scan::DeviceScanInitKernel<at_cuda_detail::cub::ScanTileState<long, (bool)1>>(T1, int)"
0.0,558112,88,6342.2,6432.0,4896,7680,617.0,nvjet_sm103_tst_64x8_64x16_1x4_h_bz_splitK_TNT
0.0,533856,286,1866.6,1856.0,1536,2432,154.3,"void at::native::_scatter_gather_elementwise_kernel<(int)128, (int)8, void at::native::_cuda_scatter_gather_internal_kernel<(bool)1, at::native::OpaqueType<(int)4>, long>::operator ()<at::native::TensorAssign>(at::TensorIterator &, long, long, long, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,518016,79,6557.2,6592.0,5792,7168,269.1,nvjet_sm103_tst_256x64_64x5_2x1_2cta_v_bz_NNT
0.0,506400,429,1180.4,1216.0,832,1664,209.5,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<int>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
0.0,491968,79,6227.4,6208.0,6016,7008,160.8,nvjet_sm103_tst_128x64_64x10_2x1_2cta_v_bz_TNT
0.0,490144,9,54460.4,54496.0,53824,55008,406.5,nvjet_sm103_tst_192x56_64x6_4x1_v_bz_TNT
0.0,431136,147,2932.9,2880.0,2784,3552,103.4,_compute_slot_mapping_kernel
0.0,377792,147,2570.0,2496.0,2400,3776,204.2,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::<unnamed>::where_kernel_impl(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(bool, unsigned short, unsigned short) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
0.0,333440,286,1165.9,1200.0,1024,2080,133.4,"void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctor_add<int>, std::array<char *, (unsigned long)3>, (int)4, TrivialOffsetCalculator<(int)2, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
0.0,331008,88,3761.5,3712.0,3520,4320,151.0,"void deep_gemm::sm100_mqa_logits<(unsigned int)32, (unsigned int)128, (bool)0, (bool)0, (unsigned int)4, (unsigned int)256, (unsigned int)3, (unsigned int)5, (unsigned int)152, (unsigned int)128, (unsigned int)256, cutlass::float_e4m3_t, float, float, (unsigned int)2>(unsigned int, unsigned int, unsigned int, const unsigned int *, const unsigned int *, T13 *, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)"
0.0,311936,286,1090.7,1088.0,1024,1312,45.6,"void at::native::vectorized_elementwise_kernel<(int)2, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)"
0.0,302464,147,2057.6,2016.0,1824,2304,88.6,eagle_prepare_next_token_padded_kernel
