PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
412,412,0,304,304,158328079.7,180647966.5,21214,244679592,70446449.7,12124.2,12192.0,7616,30944,2252.7,158310349.9,180630830.5,414,244661064,70446673.2,5605.6,5312.0,4864,7584,621.1,cuLaunchKernelEx,nvjet_sm103_tss_64x8_64x16_2x4_h_bz_splitK_TNT
412,412,0,304,304,158317876.1,180637582.5,11855,244670664,70446623.8,4926.0,4864.0,3680,21984,1122.5,158308448.7,180628526.5,2558,244660360,70446814.2,4501.4,4448.0,2112,6752,596.7,cudaLaunchKernelExC_v11060,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)0, float, float, float, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
412,412,0,304,304,158255998.8,180577598.5,12739,244615208,70443957.4,9606.0,9248.0,6592,26336,2232.5,158241389.9,180563838.5,1470,244600232,70444356.2,5002.9,4960.0,2528,7648,724.6,cudaLaunchKernelExC_v11060,"void moe::dev::routing::routingCustom::routingIndicesBlockScoresKernel<moe::dev::routing::routingCustom::KernelParams<float, __nv_bfloat16, (int)256, (int)8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::SigmoidBiasPreprocess, moe::dev::routing::ScaledSumNormalizePostprocess>>>(T1)"
412,412,0,83,83,156902212.3,185933573.0,39043,244833160,83001261.0,11689.3,11712.0,7072,26944,2540.8,156846683.8,185876805.0,1411,244779208,83000281.1,43839.2,44640.0,28896,46336,3409.8,cuLaunchKernelEx,nvjet_sm103_tst_128x64_64x9_4x1_v_bz_splitK_TNT
412,412,0,604,604,156804225.3,179193878.0,11791,244609608,70067736.5,9634.7,6640.0,3680,28128,5075.5,156790143.7,179180326.0,656,244600808,70068109.8,4446.8,4480.0,3072,8480,525.1,cudaLaunchKernelExC_v11060,"void moe::dev::routing::routingCustom::routingIndicesClusterKernel<moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, (int)256, (int)8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::NoOpPreprocess, moe::dev::routing::SoftmaxPostprocess>>, (int)256>(T1)"
412,412,0,300,300,156490677.1,178521840.5,17295,239781576,69780402.1,10167.5,10096.0,6560,21152,2088.3,156477811.1,178510496.5,1438,239766440,69780787.5,2698.6,2768.0,1632,4512,674.6,cudaLaunchKernelExC_v11060,"void vllm::cvt_fp16_to_fp4_sf_major<__nv_bfloat16, (bool)0>(int, int, int, int, int, const T1 *, const float *, unsigned int *, unsigned int *)"
412,412,0,300,300,156275991.9,178241440.5,16318,239631720,69785144.9,10851.8,11040.0,6240,24736,2048.5,156262512.8,178229136.5,1406,239619432,69785362.5,2627.3,2464.0,1280,5056,828.6,cuLaunchKernelEx,_pack_topk_ids_weights_kernel
412,412,0,304,304,155975948.2,178860846.5,4691774,238234664,69494143.9,10164.1,10240.0,6144,24832,1620.8,155957292.5,178843374.5,4671614,238218088,69494510.4,8491.6,8224.0,7552,19712,1211.5,cuLaunchKernelEx,nvjet_sm103_tst_48x64_64x15_4x1_v_bz_TNN
412,412,0,628,628,154393435.3,176678806.0,13475,245669032,75116894.5,9432.9,9376.0,6176,22560,1720.5,154380615.4,176666342.0,1263,245655528,75117321.4,3387.0,3392.0,3040,3872,138.0,cudaLaunchKernel,"std::enable_if<T2>(int)0&&vllm::_typeConvert<T1>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::BFloat16, (int)8, (bool)1>(T1 *, long, T1 *, const T1 *, float, int, int, long)"
412,412,0,316,316,154220422.2,175566820.5,20382,245627816,76262691.5,9798.3,9712.0,6944,25088,1739.0,154200149.8,175547508.5,1296,245608552,76262861.4,10474.1,10464.0,9632,11360,260.1,cuLaunchKernelEx,nvjet_sm103_tst_64x32_64x16_2x2_2cta_h_bz_splitK_TNT
412,412,0,392,392,152952461.4,176291961.0,16990,244089991,73435095.5,12508.7,13472.0,6272,27968,2553.7,152927273.0,176264313.0,1950,244074791,73435631.7,12679.8,13568.0,6752,85696,5111.1,cuLaunchKernelEx,nvjet_sm103_tst_64x32_64x16_2x2_2cta_h_bz_TNT
412,412,0,404,404,151377949.6,173169088.5,14499,245411720,78287765.7,9813.9,9632.0,6272,22368,1667.0,151364746.5,173155856.5,638,245398952,78288267.9,3389.2,3712.0,1760,4160,742.6,cudaLaunchKernel,"void vllm::rotary_embedding_kernel<c10::BFloat16, c10::BFloat16, (bool)0>(const long *, T1 *, T1 *, const T2 *, int, long, long, long, int, int, int, long, bool)"
412,412,0,237,237,150877877.5,170629101.0,27600,235804944,75016273.0,9646.0,9472.0,6496,23328,1689.6,150852510.4,170601645.0,816,235779088,75016714.3,15721.0,15712.0,14496,16864,368.9,cuLaunchKernelEx,nvjet_sm103_tst_128x56_64x9_4x1_v_bz_TNT
