2026-09-20 06:44:48 CDT power-pre T3c: 361.64 W, 1300.00 W, 2070 MHz, 3996 MHz, 47, 0x0000000000000000
2026-09-20 06:49:31 CDT power-post T3c: 385.27 W, 1300.00 W, 2070 MHz, 3996 MHz, 46, 0x0000000000000000
2026-09-20 06:54:55 CDT power-pre T3rs: 293.32 W, 1300.00 W, 2070 MHz, 3996 MHz, 41, 0x0000000000000000
2026-09-20 06:59:44 CDT power-post T3rs: 376.53 W, 1300.00 W, 2070 MHz, 3996 MHz, 45, 0x0000000000000000
2026-09-20 07:05:35 CDT power-ref: 207.46 W, 1300.00 W, 2070 MHz, 3996 MHz, 38, 0x0000000000000000
2026-09-20 07:05:35 CDT power-pre v18ctl8: 207.45 W, 1300.00 W, 2070 MHz, 3996 MHz, 38, 0x0000000000000000
2026-09-20 07:07:56 CDT power-post v18ctl8: 624.39 W, 1300.00 W, 2070 MHz, 3996 MHz, 50, 0x0000000000000000
2026-09-20 07:16:15 CDT power-pre T3cb: 319.37 W, 1300.00 W, 2070 MHz, 3996 MHz, 40, 0x0000000000000000
2026-09-20 07:21:04 CDT power-post T3cb: 360.80 W, 1300.00 W, 2070 MHz, 3996 MHz, 45, 0x0000000000000000
2026-09-20 07:26:00 CDT power-end: 207.03 W, 1300.00 W, 2070 MHz, 3996 MHz, 38, 0x0000000000000000
