1790248583,387.88
1790248588,364.25
1790248593,347.13
1790248598,367.15
1790248604,356.05
1790248609,365.95
1790248614,372.27
1790248619,343.48
1790248624,354.32
1790248629,359.39
1790248634,363.95
1790248639,361.46
1790248644,347.98
1790248649,339.86
1790248654,343.63
1790248659,363.90
1790248664,367.26
1790248669,362.53
1790248674,341.31
1790248679,365.30
1790248684,340.15
1790248689,356.59
1790248694,357.03
1790248699,350.77
1790248704,352.16
1790248709,364.32
1790248715,366.67
1790248720,352.15
1790248725,359.27
1790248730,367.11
1790248735,361.45
1790248740,357.68
1790248745,354.82
1790248750,360.95
1790248755,365.95
1790248760,349.40
1790248765,362.20
1790248770,357.91
1790248775,377.13
1790248780,346.09
1790248785,352.29
1790248790,343.65
1790248795,384.44
1790248800,363.34
1790248805,347.75
1790248810,364.73
1790248815,376.34
1790248821,343.58
1790248826,338.06
1790248831,354.16
1790248836,360.42
1790248841,356.95
1790248846,362.89
1790248851,366.53
1790248856,356.11
1790248861,368.37
1790248866,366.77
1790248871,345.77
1790248876,365.23
1790248881,342.66
1790248886,353.23
1790248891,354.46
1790248896,343.05
1790248901,370.22
1790248906,353.67
1790248911,354.31
1790248916,350.08
1790248922,356.98
1790248927,345.26
1790248932,368.82
1790248937,364.47
1790248942,390.83
1790248947,362.16
1790248952,358.83
1790248957,444.37
1790248962,365.13
1790248967,377.38
1790248972,360.14
1790248977,338.55
1790248982,373.33
1790248987,356.75
1790248992,387.11
1790248997,392.56
1790249003,353.03
1790249008,360.18
1790249013,364.72
1790249018,362.18
1790249023,391.47
1790249028,370.76
1790249033,366.91
1790249038,402.77
1790249043,376.52
1790249048,400.96
1790249053,370.61
1790249058,402.40
1790249063,398.83
1790249068,432.93
1790249073,453.75
1790249078,364.61
1790249083,366.20
1790249089,383.49
1790249094,371.93
1790249099,401.60
1790249104,364.85
1790249109,392.19
1790249114,367.60
1790249119,357.13
1790249124,362.17
1790249129,364.10
1790249134,449.48
1790249139,419.72
1790249144,381.12
1790249149,361.53
1790249154,369.19
1790249159,395.27
1790249164,395.34
1790249170,403.86
1790249175,370.89
1790249180,417.24
1790249185,416.90
1790249190,426.18
1790249195,375.21
1790249200,369.34
1790249205,392.42
1790249210,375.56
1790249215,366.19
1790249220,372.42
1790249225,401.55
1790249230,361.39
1790249236,357.32
1790249241,359.46
1790249246,437.24
1790249251,422.23
1790249256,378.26
1790249261,368.11
1790249266,408.29
1790249271,375.89
1790249276,352.13
1790249281,381.19
1790249286,396.44
1790249291,349.13
1790249296,361.03
1790249301,361.85
1790249306,398.51
1790249312,378.58
1790249317,381.69
1790249322,441.52
1790249327,356.50
1790249332,365.70
1790249337,366.31
