1790244705,367.59
1790244710,331.65
1790244715,335.20
1790244720,332.88
1790244725,320.89
1790244730,304.12
1790244735,310.13
1790244740,338.60
1790244745,347.90
1790244750,322.77
1790244755,348.31
1790244760,355.03
1790244765,331.35
1790244770,335.35
1790244775,335.92
1790244780,320.93
1790244785,364.17
1790244790,322.70
1790244795,330.39
1790244800,351.63
1790244805,317.23
1790244811,320.44
1790244816,338.36
1790244821,362.19
1790244826,331.64
1790244831,352.37
1790244836,306.82
1790244841,345.35
1790244846,345.19
1790244851,341.39
1790244856,361.42
1790244861,344.22
1790244866,348.96
1790244871,370.82
1790244876,330.17
1790244881,335.51
1790244886,305.91
1790244891,349.18
1790244896,320.86
1790244901,330.48
1790244907,327.23
1790244912,342.50
1790244917,331.78
1790244922,357.83
1790244927,333.97
1790244932,339.21
1790244937,356.03
1790244942,335.88
1790244947,329.11
1790244952,332.93
1790244957,329.11
1790244962,328.57
1790244967,333.72
1790244972,366.78
1790244977,357.13
1790244982,330.80
1790244987,321.26
1790244992,336.65
1790244997,366.94
1790245002,334.00
1790245007,332.15
1790245012,317.93
1790245017,342.79
1790245022,326.47
1790245027,319.66
1790245033,325.11
1790245038,324.97
1790245043,299.08
1790245048,334.61
1790245053,311.46
1790245058,322.64
1790245063,361.62
1790245068,325.31
1790245073,335.80
1790245078,328.34
1790245083,331.73
1790245088,322.32
1790245093,325.12
1790245098,303.08
1790245103,343.24
1790245108,362.48
1790245113,351.83
1790245118,356.81
1790245123,334.82
1790245128,326.66
1790245133,403.85
1790245138,332.37
1790245143,323.62
1790245148,380.39
1790245153,327.08
1790245158,411.72
1790245164,292.86
1790245169,322.91
1790245174,294.11
1790245179,331.54
1790245184,310.22
1790245189,368.27
1790245194,393.66
1790245199,385.61
1790245204,328.83
1790245209,322.27
1790245214,387.77
1790245219,314.04
1790245224,317.54
1790245229,353.56
1790245234,338.29
1790245239,354.86
1790245244,335.51
1790245249,327.93
1790245254,339.70
1790245259,327.81
1790245264,400.52
1790245269,322.62
1790245274,395.40
1790245280,336.26
1790245285,406.45
1790245290,421.29
1790245295,338.24
1790245300,439.94
1790245305,407.62
1790245310,331.13
1790245315,451.91
1790245320,338.45
1790245325,344.23
1790245330,337.98
1790245335,387.38
1790245340,369.84
1790245345,324.39
1790245350,338.51
1790245355,304.72
1790245360,313.46
1790245365,325.40
1790245370,334.71
1790245375,339.27
1790245380,437.69
1790245385,333.67
1790245390,319.43
1790245395,340.66
1790245400,342.37
1790245406,391.39
1790245411,394.98
1790245416,395.13
1790245421,332.38
1790245426,409.92
1790245431,452.49
1790245436,346.27
1790245441,367.23
1790245446,335.11
1790245451,372.77
1790245456,338.02
1790245461,316.01
1790245466,330.25
1790245471,336.25
1790245476,329.04
1790245481,344.36
1790245486,320.93
1790245491,393.39
1790245496,341.68
1790245501,404.49
1790245506,329.24
1790245511,320.40
1790245516,381.24
1790245521,379.66
1790245526,334.39
1790245531,320.63
1790245536,338.32
1790245542,383.97
1790245547,378.15
1790245552,340.86
1790245557,327.36
1790245562,331.42
1790245567,366.84
1790245572,342.28
1790245577,331.68
1790245582,353.37
1790245587,351.86
1790245592,377.33
1790245597,322.48
1790245602,332.64
1790245607,332.39
1790245612,338.57
1790245617,340.95
1790245622,368.83
1790245627,320.84
1790245632,322.92
1790245637,335.92
1790245642,325.83
1790245647,340.19
1790245652,388.45
1790245657,325.75
1790245662,330.69
1790245668,331.32
1790245673,317.20
1790245678,308.80
1790245683,329.99
1790245688,330.96
1790245693,365.80
1790245698,314.16
1790245703,332.53
1790245708,327.55
1790245713,341.53
1790245718,376.62
1790245723,354.01
1790245728,346.13
1790245733,394.73
1790245738,327.73
1790245743,342.44
1790245748,392.30
1790245753,341.78
1790245758,342.29
1790245763,326.88
1790245768,329.23
1790245774,398.37
1790245779,332.28
1790245784,333.18
1790245789,329.84
1790245794,324.81
1790245799,343.79
1790245804,392.58
1790245809,366.84
1790245814,331.42
1790245819,330.56
1790245824,327.83
1790245829,318.06
1790245834,330.30
1790245839,324.69
1790245844,326.74
1790245849,336.44
1790245854,332.17
1790245859,329.59
1790245864,332.46
1790245869,332.26
1790245874,322.14
1790245879,327.94
1790245884,328.46
1790245889,330.06
1790245894,332.45
1790245899,364.11
1790245904,333.48
1790245910,330.37
1790245915,343.45
1790245920,324.32
1790245925,336.93
1790245930,336.27
1790245935,382.31
1790245940,336.16
1790245945,334.80
1790245950,331.66
1790245955,330.01
1790245960,332.29
1790245965,341.93
1790245970,340.28
1790245975,338.92
1790245980,331.00
1790245985,328.32
1790245990,329.11
1790245995,332.47
1790246000,328.14
1790246005,316.54
1790246010,381.32
1790246015,432.73
1790246020,367.15
1790246025,348.11
1790246030,387.35
1790246035,334.42
1790246041,323.93
1790246046,376.00
1790246051,336.06
1790246056,337.63
1790246061,334.68
1790246066,346.06
1790246071,409.69
1790246076,342.97
1790246081,331.21
1790246086,343.97
1790246091,346.60
1790246096,408.17
1790246101,361.50
1790246106,319.25
1790246111,328.29
1790246116,382.07
1790246121,388.38
1790246126,330.25
1790246131,323.94
1790246136,331.09
1790246141,339.21
1790246146,432.67
1790246151,442.24
1790246156,321.43
1790246161,326.02
1790246166,418.83
1790246171,327.23
1790246176,325.93
1790246181,339.86
1790246186,329.75
1790246192,331.53
1790246197,373.93
1790246202,324.59
1790246207,330.12
1790246212,383.96
1790246217,338.64
1790246222,318.59
1790246227,335.98
1790246232,420.13
1790246237,392.54
1790246242,329.92
1790246247,329.96
1790246252,343.17
1790246257,346.53
1790246262,362.02
1790246267,343.67
1790246272,329.02
1790246277,325.46
1790246282,334.74
1790246287,319.43
1790246292,329.70
1790246297,384.10
1790246302,334.00
1790246307,322.26
1790246312,377.19
1790246317,333.62
1790246322,328.67
1790246327,404.77
1790246332,332.38
1790246338,340.33
1790246343,340.53
1790246348,327.51
1790246353,333.99
1790246358,377.24
1790246363,329.39
1790246368,328.70
1790246373,323.61
1790246378,316.23
1790246383,352.83
1790246388,326.41
1790246393,331.58
1790246398,326.66
1790246403,325.52
1790246408,337.17
1790246413,330.15
1790246418,328.12
1790246423,320.55
1790246428,333.51
1790246433,327.89
1790246438,328.69
1790246444,335.47
1790246449,400.49
1790246454,333.64
1790246459,333.23
1790246464,337.77
1790246469,329.77
1790246474,346.98
1790246479,327.22
1790246484,329.12
1790246489,316.60
1790246494,372.22
1790246499,344.64
1790246504,328.17
1790246509,329.87
1790246514,331.20
1790246519,323.36
1790246524,368.07
1790246529,332.45
1790246534,346.32
1790246539,369.34
1790246544,332.56
1790246549,334.54
1790246554,336.05
1790246559,314.97
1790246564,331.13
1790246569,323.30
1790246575,330.36
1790246580,330.08
1790246585,346.14
1790246590,336.62
1790246595,330.62
1790246600,338.93
1790246605,336.53
1790246610,340.27
1790246615,331.46
1790246620,328.83
1790246625,332.25
1790246630,333.87
1790246635,322.47
1790246640,379.76
1790246645,329.44
1790246650,343.54
1790246655,318.20
1790246660,315.68
1790246665,308.90
1790246670,330.85
1790246675,382.22
1790246680,326.09
1790246685,327.68
1790246690,330.34
1790246695,331.62
1790246700,429.73
1790246705,334.01
1790246710,329.92
1790246716,429.03
1790246721,330.53
1790246726,332.58
1790246731,340.12
1790246736,333.40
1790246741,331.03
1790246746,327.08
1790246751,330.02
1790246756,340.67
1790246761,333.42
1790246766,393.20
1790246771,326.39
1790246776,331.02
1790246781,332.62
1790246786,323.73
1790246791,325.28
1790246796,335.80
1790246801,324.62
1790246807,292.27
1790246812,334.41
1790246817,324.81
1790246822,323.88
1790246827,401.79
1790246832,370.61
1790246837,344.99
1790246842,311.63
1790246847,331.64
1790246852,326.55
1790246857,316.88
1790246862,350.55
1790246867,360.18
1790246872,361.12
1790246877,404.18
1790246882,384.18
1790246887,320.65
1790246892,328.59
1790246897,325.28
1790246902,468.82
1790246908,354.54
1790246913,342.85
1790246918,366.31
1790246923,411.27
1790246928,334.56
1790246933,382.00
1790246938,320.17
1790246943,360.71
1790246948,322.12
1790246953,359.20
1790246958,337.28
1790246963,309.94
1790246968,312.57
1790246973,327.83
1790246978,375.27
1790246983,385.97
1790246988,309.92
1790246993,320.89
1790246998,353.28
1790247003,323.56
1790247008,347.17
1790247013,334.46
1790247018,342.00
1790247023,377.86
1790247028,327.18
1790247033,332.99
1790247038,339.35
1790247044,364.01
1790247049,331.20
1790247054,391.27
1790247059,390.11
1790247064,390.60
1790247069,390.43
1790247074,390.86
1790247079,391.54
1790247084,390.98
1790247089,391.30
1790247094,390.57
