run,config,image,history_essay_512,prose_300,code_400,shell_200,greedy_vs_cardD_newdf,tf_vs_cardD_newdf,c8_agg,vision_gate,source
cardD,newdf (reference),lmsysorg/sglang:v0.5.20-cu130 (tf 5.12.1),201.9,151.0,288.2,162.3,ref,ref,699.1,not run,../2026-09-21-v0520-rebase/receipts/newdf/
cardH,stock,lmsysorg/sglang:v0.5.20-cu130 (tf 5.12.1),,,,,,,,FAIL (0 image tokens),raw/cardH-2026-09-24/stock/vision.txt
cardH,tf5 first boot (UNEXPLAINED),glmf-sglang:0.5.20-tf5.16.1 unpinned-tokenizers build,204.1,154.4,313.6,160.2,2/20,mean 0.146 max 6.61,681.0,PASS (361 image tokens),raw/cardH-2026-09-24/tf5/
cardH5,r1 Card H order with images,glmf-sglang:0.5.20-tf5.16.1 unpinned-tokenizers build,202.3,151.0,288.6,161.5,20/20,within bar,,PASS,raw/cardH-2026-09-24/h5/
cardH5,r2 Card H order no images,glmf-sglang:0.5.20-tf5.16.1 unpinned-tokenizers build,201.4,151.0,288.5,160.9,20/20,within bar,,not run,raw/cardH-2026-09-24/h5/
cardH6,pinned rebuild (recipe image),glmf-sglang:0.5.20-tf5.16.1 sha256:98dabd1b,200.4,149.8,285.9,157.7,20/20,max 0.000000 over 2857,699.4,PASS,raw/cardH-2026-09-24/h6/
